msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Burlington, NC",15500,132900.0,130900.0,143600.0,139800.0,133700.0,141100.0,148700.0,153800.0,151900.0,166500.0,184750.0,203000.0
"Burlington-South Burlington, VT",15540,253500.0,251700.0,249700.0,251800.0,254400.0,266800.0,272100.0,272200.0,279300.0,291800.0,319850.0,347900.0
"California-Lexington Park, MD",15680,,,,290400.0,291300.0,293700.0,307900.0,294000.0,309800.0,320700.0,338550.0,356400.0
"Canton-Massillon, OH",15940,123300.0,122800.0,118300.0,119800.0,123600.0,126400.0,128500.0,132600.0,137300.0,144000.0,153200.0,162400.0
"Cape Coral-Fort Myers, FL",15980,149500.0,128300.0,137600.0,154800.0,163400.0,184200.0,210900.0,225300.0,235000.0,244700.0,265350.0,286000.0
"Cape Girardeau, MO-IL",16020,123700.0,124600.0,120500.0,124800.0,129100.0,146500.0,141700.0,151200.0,152900.0,158500.0,166550.0,174600.0
"Carbondale-Marion, IL",16060,,,,106400.0,107300.0,98800.0,110400.0,120600.0,114400.0,115500.0,122450.0,129400.0
"Carson City, NV",16180,218500.0,208400.0,158800.0,163100.0,199400.0,218100.0,254600.0,256100.0,316800.0,325200.0,359350.0,393500.0
"Casper, WY",16220,177000.0,165700.0,178600.0,187800.0,206600.0,206400.0,208800.0,206200.0,211000.0,225400.0,234600.0,243800.0
"Cedar Rapids, IA",16300,137100.0,142200.0,146700.0,144500.0,149600.0,149000.0,151100.0,156400.0,157400.0,163800.0,172250.0,180700.0
"Chambersburg-Waynesboro, PA",16540,182400.0,172500.0,174500.0,176900.0,165100.0,175200.0,174700.0,182000.0,180200.0,187500.0,203450.0,219400.0
"Champaign-Urbana, IL",16580,147100.0,141700.0,138200.0,141900.0,139400.0,152600.0,150600.0,161300.0,160600.0,158700.0,170400.0,182100.0
"Charleston, WV",16620,99600.0,101900.0,103700.0,102600.0,97800.0,104100.0,111300.0,107500.0,113100.0,105200.0,114900.0,124600.0
"Charleston-North Charleston, SC",16700,192900.0,179100.0,182500.0,187700.0,189700.0,210400.0,213200.0,245500.0,252900.0,266600.0,291000.0,315400.0
"Charlotte-Concord-Gastonia, NC-SC",16740,172500.0,166100.0,164700.0,164000.0,169400.0,173900.0,188100.0,197100.0,215500.0,233900.0,260250.0,286600.0
"Charlottesville, VA",16820,281900.0,268000.0,269500.0,261500.0,261800.0,271900.0,272600.0,271900.0,299000.0,317700.0,333850.0,350000.0
"Chattanooga, TN-GA",16860,142000.0,140800.0,142800.0,142600.0,145700.0,150300.0,160300.0,160000.0,162200.0,185000.0,207250.0,229500.0
"Cheyenne, WY",16940,178000.0,171800.0,181800.0,197800.0,201200.0,204500.0,210200.0,217500.0,246500.0,267200.0,282550.0,297900.0
"Chicago-Naperville-Elgin, IL-IN-WI",16980,236000.0,220200.0,207100.0,206300.0,211800.0,224300.0,229900.0,240300.0,247800.0,253800.0,267450.0,281100.0
