msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Dothan, AL",20020,38638.0,40465.0,37632.0,40186.0,38300.0,42492.0,41040.0,45396.0,45152.0,50010.0,48837.5,47665.0
"Dover, DE",20100,54617.0,52512.0,52894.0,54794.0,55227.0,56778.0,54140.0,57608.0,54419.0,58001.0,61154.5,64308.0
"Dubuque, IA",20220,49776.0,53011.0,49793.0,51735.0,56129.0,58487.0,60456.0,61497.0,60225.0,62178.0,68884.0,75590.0
"Duluth, MN-WI",20260,42083.0,46110.0,46848.0,46385.0,50275.0,50566.0,51294.0,54162.0,53767.0,60316.0,62638.0,64960.0
"Durham-Chapel Hill, NC",20500,47982.0,48689.0,50262.0,53492.0,51988.0,54160.0,56182.0,61271.0,62114.0,65303.0,68452.0,71601.0
"East Stroudsburg, PA",20700,54549.0,51875.0,56178.0,55536.0,63118.0,57318.0,60095.0,61612.0,64170.0,62413.0,70494.0,78575.0
"Eau Claire, WI",20740,44086.0,49375.0,48691.0,49046.0,48873.0,52094.0,51058.0,55480.0,60081.0,63460.0,62572.0,61684.0
"El Centro, CA",20940,41802.0,37843.0,40200.0,43310.0,39290.0,40852.0,49095.0,47211.0,48984.0,48472.0,50140.5,51809.0
"Elizabethtown-Fort Knox, KY",21060,42363.0,46448.0,47323.0,46680.0,49649.0,48955.0,51936.0,52622.0,51147.0,55246.0,57635.5,60025.0
"Elkhart-Goshen, IN",21140,41748.0,43317.0,45315.0,45387.0,49937.0,49556.0,54216.0,58960.0,58350.0,54531.0,57337.0,60143.0
"Elmira, NY",21300,47643.0,50120.0,45974.0,45237.0,50232.0,53119.0,51269.0,51194.0,53005.0,60782.0,60500.5,60219.0
"El Paso, TX",21340,36015.0,39573.0,40345.0,39873.0,40133.0,43633.0,42116.0,44416.0,43862.0,48823.0,49912.5,51002.0
"Enid, OK",21420,,,,,,,50288.0,47915.0,53946.0,64929.0,62825.0,60721.0
"Erie, PA",21500,42519.0,41975.0,46563.0,44292.0,45560.0,47386.0,48964.0,50614.0,48007.0,51818.0,54334.5,56851.0
"Eugene-Springfield, OR",21660,40276.0,40584.0,40675.0,43459.0,44877.0,47318.0,47777.0,50654.0,53172.0,57325.0,59518.5,61712.0
"Evansville, IN-KY",21780,44319.0,46721.0,44887.0,45332.0,46547.0,48662.0,50155.0,51964.0,55412.0,55584.0,57368.5,59153.0
"Fairbanks, AK",21820,60785.0,65920.0,66539.0,69113.0,69820.0,72975.0,77328.0,76747.0,75448.0,72065.0,72107.0,72149.0
"Fargo, ND-MN",22020,50088.0,52393.0,51525.0,51961.0,53867.0,56051.0,60009.0,63353.0,65073.0,62820.0,64518.0,66216.0
"Farmington, NM",22140,45127.0,51728.0,46385.0,43787.0,48773.0,49613.0,52003.0,45942.0,44841.0,44321.0,46070.0,47819.0
"Fayetteville, NC",22180,43458.0,42955.0,44823.0,42968.0,42181.0,41921.0,45293.0,44757.0,46679.0,47597.0,51312.0,55027.0
"Fayetteville-Springdale-Rogers, AR",22220,45101.0,45138.0,45611.0,47905.0,50128.0,50788.0,51848.0,56038.0,57911.0,61674.0,66720.5,71767.0
"Flagstaff, AZ",22380,42130.0,45045.0,45640.0,50637.0,49757.0,53152.0,55091.0,54893.0,61843.0,58085.0,61309.0,64533.0
"Flint, MI",22420,38819.0,40843.0,40323.0,41249.0,41682.0,44025.0,43955.0,46298.0,48127.0,50389.0,51207.0,52025.0
"Florence, SC",22500,37590.0,39961.0,38163.0,38577.0,40139.0,38062.0,42200.0,40562.0,42612.0,48547.0,49135.5,49724.0
"Florence-Muscle Shoals, AL",22520,37638.0,37998.0,41450.0,42898.0,41597.0,41547.0,45287.0,45903.0,49407.0,45824.0,48731.5,51639.0
"Fond du Lac, WI",22540,49718.0,53202.0,53065.0,54198.0,51717.0,57620.0,58310.0,61417.0,57415.0,65329.0,67198.5,69068.0
"Fort Collins, CO",22660,54154.0,55219.0,55890.0,59052.0,56575.0,64919.0,66469.0,69102.0,71091.0,75186.0,76647.5,78109.0
"Fort Smith, AR-OK",22900,37992.0,35965.0,36061.0,37633.0,39207.0,41040.0,40970.0,40282.0,44317.0,45157.0,47111.0,49065.0
"Fort Wayne, IN",23060,47004.0,47485.0,49301.0,46005.0,49405.0,50856.0,51519.0,52908.0,55491.0,57287.0,59721.0,62155.0
"Fresno, CA",23420,45221.0,42807.0,41627.0,43925.0,43423.0,46949.0,48715.0,51800.0,52629.0,57518.0,60587.0,63656.0
"Gadsden, AL",23460,35897.0,33313.0,34264.0,39459.0,40529.0,43346.0,41152.0,41576.0,45868.0,41447.0,43372.5,45298.0
"Gainesville, FL",23540,40274.0,39493.0,41226.0,38658.0,45353.0,46949.0,45279.0,44548.0,50495.0,47762.0,50745.0,53728.0
"Gainesville, GA",23580,47002.0,50108.0,49737.0,44998.0,52519.0,55009.0,54917.0,61977.0,61699.0,67467.0,67093.0,66719.0
"Gettysburg, PA",23900,55652.0,54906.0,60136.0,59029.0,61543.0,61023.0,59300.0,63107.0,62284.0,67715.0,70350.0,72985.0
"Glens Falls, NY",24020,50936.0,51722.0,53368.0,53562.0,51880.0,55186.0,54414.0,58723.0,57058.0,61255.0,63406.0,65557.0
"Goldsboro, NC",24140,40787.0,39085.0,37905.0,42193.0,35966.0,40361.0,41711.0,44347.0,40791.0,44596.0,46095.5,47595.0
"Grand Forks, ND-MN",24220,46057.0,46718.0,43648.0,50891.0,49691.0,53443.0,48671.0,48609.0,54659.0,57301.0,59934.5,62568.0
"Grand Island, NE",24260,46479.0,45590.0,47588.0,50567.0,49742.0,51371.0,55435.0,60116.0,54235.0,55907.0,58828.0,61749.0
"Grand Junction, CO",24300,46231.0,47664.0,45892.0,46723.0,50174.0,51465.0,48846.0,52742.0,49848.0,60500.0,62277.5,64055.0
"Grand Rapids-Kentwood, MI",24340,47040.0,49589.0,50658.0,52485.0,54372.0,55459.0,60212.0,61298.0,63344.0,65739.0,68876.5,72014.0
"Grants Pass, OR",24420,36626.0,37048.0,34430.0,38298.0,36870.0,41493.0,36472.0,44426.0,48315.0,47573.0,48179.0,48785.0
"Great Falls, MT",24500,41871.0,42623.0,41732.0,43947.0,42170.0,45606.0,45138.0,47713.0,49948.0,51227.0,54466.5,57706.0
"Greeley, CO",24540,51956.0,51059.0,55357.0,58611.0,62083.0,70256.0,63400.0,68884.0,75938.0,78615.0,81952.5,85290.0
"Green Bay, WI",24580,49016.0,52725.0,50777.0,51148.0,53208.0,54847.0,58011.0,60456.0,61400.0,65026.0,65839.0,66652.0
"Greensboro-High Point, NC",24660,41120.0,41399.0,41751.0,43791.0,42565.0,45749.0,46135.0,50285.0,50026.0,51770.0,54839.0,57908.0
"Greenville, NC",24780,39664.0,38322.0,37759.0,40639.0,41632.0,41453.0,46573.0,45849.0,42481.0,53401.0,48925.5,44450.0
"Greenville-Anderson, SC",24860,42640.0,44536.0,43724.0,44853.0,44783.0,48180.0,50644.0,51154.0,55790.0,58621.0,60443.0,62265.0
"Guayama, PR",25020,18991.0,16118.0,14879.0,12365.0,14187.0,16135.0,16595.0,14676.0,17062.0,16655.0,16514.0,16373.0
"Gulfport-Biloxi, MS",25060,41875.0,38287.0,41254.0,44951.0,43906.0,44328.0,46434.0,47099.0,47444.0,50642.0,53495.0,56348.0
"Hagerstown-Martinsburg, MD-WV",25180,50529.0,50797.0,51386.0,56424.0,56537.0,55142.0,55862.0,59801.0,61256.0,60095.0,63733.5,67372.0
"Hammond, LA",25220,37390.0,39391.0,34904.0,44166.0,40689.0,42962.0,48162.0,44861.0,48205.0,47825.0,50348.5,52872.0
"Hanford-Corcoran, CA",25260,44609.0,50345.0,45935.0,45774.0,42784.0,45746.0,53234.0,57555.0,61663.0,58453.0,60304.0,62155.0
"Harrisburg-Carlisle, PA",25420,54009.0,55382.0,54742.0,56484.0,57742.0,58166.0,61467.0,65069.0,64213.0,67069.0,70314.0,73559.0
