msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Champaign-Urbana, IL",16580,596.0,644.0,636.0,653.0,659.0,707.0,686.0,683.0,691.0,766.0,780.0,794.0
"Charleston, WV",16620,460.0,507.0,489.0,478.0,517.0,526.0,523.0,500.0,559.0,537.0,580.5,624.0
"Charleston-North Charleston, SC",16700,716.0,741.0,782.0,780.0,815.0,843.0,868.0,899.0,997.0,1056.0,1092.0,1128.0
"Charlotte-Concord-Gastonia, NC-SC",16740,636.0,662.0,683.0,683.0,714.0,743.0,793.0,822.0,865.0,914.0,983.5,1053.0
"Charlottesville, VA",16820,876.0,893.0,848.0,927.0,874.0,911.0,1012.0,979.0,1027.0,1073.0,1161.0,1249.0
"Chattanooga, TN-GA",16860,536.0,526.0,562.0,576.0,587.0,591.0,615.0,647.0,670.0,684.0,740.0,796.0
"Cheyenne, WY",16940,549.0,679.0,684.0,662.0,693.0,761.0,822.0,775.0,772.0,752.0,778.5,805.0
"Chicago-Naperville-Elgin, IL-IN-WI",16980,804.0,815.0,833.0,853.0,872.0,889.0,930.0,949.0,972.0,1000.0,1050.5,1101.0
"Chico, CA",17020,764.0,741.0,783.0,765.0,784.0,831.0,854.0,862.0,897.0,935.0,1001.0,1067.0
"Cincinnati, OH-KY-IN",17140,573.0,575.0,591.0,606.0,614.0,639.0,653.0,657.0,699.0,706.0,740.5,775.0
"Clarksville, TN-KY",17300,568.0,616.0,637.0,661.0,637.0,670.0,698.0,737.0,737.0,704.0,779.5,855.0
"Cleveland, TN",17420,507.0,477.0,516.0,517.0,534.0,511.0,539.0,590.0,576.0,589.0,615.5,642.0
"Cleveland-Elyria, OH",17460,593.0,595.0,605.0,619.0,630.0,634.0,659.0,669.0,683.0,693.0,727.0,761.0
"Coeur d'Alene, ID",17660,639.0,647.0,692.0,695.0,686.0,758.0,792.0,838.0,869.0,849.0,961.0,1073.0
"College Station-Bryan, TX",17780,612.0,657.0,640.0,677.0,696.0,702.0,727.0,747.0,783.0,791.0,827.0,863.0
"Colorado Springs, CO",17820,695.0,765.0,778.0,833.0,835.0,883.0,914.0,996.0,1060.0,1124.0,1218.0,1312.0
"Columbia, MO",17860,588.0,562.0,619.0,621.0,656.0,630.0,654.0,695.0,697.0,711.0,742.0,773.0
"Columbia, SC",17900,586.0,633.0,621.0,657.0,657.0,666.0,700.0,696.0,744.0,744.0,779.5,815.0
"Columbus, GA-AL",17980,539.0,554.0,574.0,613.0,614.0,630.0,643.0,632.0,675.0,699.0,697.5,696.0
"Columbus, IN",18020,607.0,599.0,641.0,614.0,626.0,687.0,723.0,707.0,732.0,770.0,808.5,847.0
"Columbus, OH",18140,611.0,623.0,639.0,646.0,675.0,695.0,712.0,748.0,774.0,805.0,850.5,896.0
"Corpus Christi, TX",18580,636.0,633.0,672.0,688.0,722.0,753.0,780.0,795.0,826.0,871.0,899.5,928.0
"Corvallis, OR",18700,642.0,685.0,735.0,763.0,808.0,794.0,915.0,923.0,968.0,1015.0,1063.5,1112.0
"Crestview-Fort Walton Beach-Destin, FL",18880,779.0,750.0,795.0,797.0,828.0,838.0,832.0,856.0,914.0,976.0,1082.0,1188.0
"Cumberland, MD-WV",19060,441.0,434.0,466.0,394.0,490.0,506.0,546.0,520.0,505.0,509.0,525.0,541.0
"Dallas-Fort Worth-Arlington, TX",19100,691.0,703.0,733.0,760.0,784.0,832.0,869.0,928.0,989.0,1051.0,1100.0,1149.0
"Dalton, GA",19140,510.0,476.0,485.0,507.0,510.0,541.0,521.0,526.0,556.0,564.0,608.5,653.0
"Danville, IL",19180,437.0,431.0,452.0,440.0,463.0,496.0,474.0,504.0,493.0,508.0,542.5,577.0
"Daphne-Fairhope-Foley, AL",19300,678.0,679.0,710.0,671.0,648.0,728.0,814.0,785.0,831.0,898.0,907.5,917.0
"Davenport-Moline-Rock Island, IA-IL",19340,510.0,537.0,555.0,555.0,575.0,607.0,609.0,633.0,632.0,627.0,662.0,697.0
"Dayton-Kettering, OH",19430,,,,,,,,,,654.0,689.5,725.0
"Decatur, AL",19460,415.0,409.0,429.0,448.0,449.0,440.0,444.0,413.0,507.0,505.0,503.5,502.0
"Decatur, IL",19500,460.0,512.0,504.0,521.0,487.0,502.0,506.0,507.0,552.0,500.0,510.5,521.0
"Deltona-Daytona Beach-Ormond Beach, FL",19660,727.0,697.0,720.0,778.0,805.0,818.0,837.0,878.0,910.0,957.0,979.5,1002.0
"Denver-Aurora-Lakewood, CO",19740,778.0,822.0,854.0,891.0,959.0,1073.0,1174.0,1246.0,1288.0,1372.0,1423.5,1475.0
"Des Moines-West Des Moines, IA",19780,631.0,649.0,675.0,688.0,705.0,723.0,740.0,762.0,787.0,818.0,842.0,866.0
"Detroit-Warren-Dearborn, MI",19820,647.0,649.0,659.0,678.0,692.0,714.0,729.0,746.0,761.0,797.0,831.5,866.0
"Dothan, AL",20020,419.0,435.0,443.0,470.0,471.0,480.0,507.0,516.0,510.0,517.0,542.0,567.0
"Dover, DE",20100,804.0,729.0,763.0,745.0,843.0,797.0,809.0,840.0,826.0,953.0,984.0,1015.0
"Dubuque, IA",20220,508.0,534.0,582.0,548.0,594.0,565.0,635.0,642.0,616.0,673.0,688.0,703.0
"Duluth, MN-WI",20260,552.0,567.0,592.0,594.0,644.0,601.0,658.0,650.0,696.0,692.0,734.5,777.0
"Durham-Chapel Hill, NC",20500,645.0,682.0,709.0,715.0,764.0,766.0,800.0,867.0,896.0,909.0,951.5,994.0
"East Stroudsburg, PA",20700,833.0,695.0,782.0,874.0,903.0,779.0,794.0,874.0,859.0,956.0,959.5,963.0
"Eau Claire, WI",20740,516.0,574.0,604.0,566.0,620.0,635.0,650.0,663.0,684.0,704.0,701.5,699.0
"El Centro, CA",20940,615.0,592.0,595.0,639.0,658.0,636.0,652.0,675.0,638.0,677.0,714.0,751.0
"Elizabethtown-Fort Knox, KY",21060,505.0,549.0,575.0,548.0,594.0,576.0,592.0,638.0,645.0,663.0,656.0,649.0
"Elkhart-Goshen, IN",21140,573.0,579.0,598.0,593.0,600.0,614.0,620.0,641.0,667.0,697.0,725.5,754.0
"Elmira, NY",21300,539.0,557.0,547.0,584.0,653.0,637.0,638.0,700.0,655.0,641.0,676.5,712.0
"El Paso, TX",21340,568.0,595.0,626.0,649.0,639.0,660.0,669.0,702.0,679.0,720.0,746.5,773.0
"Enid, OK",21420,,,,,,,622.0,635.0,622.0,627.0,624.0,621.0
"Erie, PA",21500,495.0,511.0,522.0,539.0,538.0,552.0,562.0,574.0,600.0,606.0,622.5,639.0
"Eugene-Springfield, OR",21660,678.0,697.0,706.0,735.0,744.0,784.0,808.0,823.0,864.0,909.0,948.0,987.0
"Evansville, IN-KY",21780,498.0,508.0,510.0,521.0,541.0,544.0,546.0,599.0,586.0,624.0,640.5,657.0
"Fairbanks, AK",21820,1000.0,1058.0,1077.0,1061.0,1128.0,1112.0,1189.0,1113.0,1183.0,1173.0,1154.5,1136.0
"Fargo, ND-MN",22020,552.0,585.0,602.0,632.0,637.0,691.0,713.0,747.0,765.0,761.0,749.5,738.0
"Farmington, NM",22140,597.0,606.0,589.0,603.0,610.0,643.0,660.0,647.0,707.0,651.0,678.5,706.0
"Fayetteville, NC",22180,651.0,629.0,679.0,654.0,677.0,681.0,673.0,683.0,714.0,718.0,772.0,826.0
"Fayetteville-Springdale-Rogers, AR",22220,528.0,535.0,558.0,571.0,577.0,589.0,616.0,643.0,671.0,698.0,754.5,811.0
"Flagstaff, AZ",22380,830.0,793.0,834.0,944.0,846.0,972.0,861.0,1022.0,1114.0,1176.0,1174.0,1172.0
"Flint, MI",22420,521.0,518.0,517.0,541.0,542.0,546.0,542.0,574.0,593.0,613.0,627.0,641.0
"Florence, SC",22500,418.0,457.0,455.0,473.0,466.0,488.0,535.0,538.0,552.0,553.0,597.5,642.0
"Florence-Muscle Shoals, AL",22520,396.0,388.0,402.0,401.0,438.0,456.0,450.0,485.0,447.0,455.0,520.5,586.0
"Fond du Lac, WI",22540,535.0,547.0,582.0,623.0,585.0,587.0,604.0,637.0,635.0,647.0,670.0,693.0
