msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Cape Girardeau, MO-IL",16020,41928.0,42712.0,42085.0,42064.0,42901.0,42494.0,42903.0,43922.0,43877.0,45069.0,44560.0,44051.0
"Carbondale-Marion, IL",16060,,,,59095.0,59413.0,59565.0,59614.0,60300.0,60406.0,66120.0,65741.5,65363.0
"Carson City, NV",16180,23529.0,23567.0,23486.0,23390.0,23461.0,23448.0,23436.0,23893.0,24022.0,24348.0,24619.5,24891.0
"Casper, WY",16220,33892.0,34410.0,34891.0,35183.0,35822.0,36077.0,36256.0,36921.0,37181.0,37358.0,37204.5,37051.0
"Cedar Rapids, IA",16300,112481.0,113225.0,113291.0,113644.0,114637.0,115304.0,116278.0,117393.0,118216.0,119008.0,120449.0,121890.0
"Chambersburg-Waynesboro, PA",16540,63324.0,63859.0,63766.0,63781.0,64125.0,64316.0,64405.0,65430.0,65799.0,66195.0,66459.5,66724.0
"Champaign-Urbana, IL",16580,101358.0,101690.0,101903.0,102116.0,103311.0,104370.0,105447.0,106819.0,106732.0,102141.0,102137.0,102133.0
"Charleston, WV",16620,141910.0,140794.0,142765.0,107637.0,107528.0,108087.0,108417.0,108910.0,108280.0,129856.0,127934.5,126013.0
"Charleston-North Charleston, SC",16700,299134.0,301985.0,304392.0,307181.0,313027.0,318493.0,324390.0,332681.0,339519.0,345889.0,357997.0,370105.0
"Charlotte-Concord-Gastonia, NC-SC",16740,741184.0,742559.0,747886.0,955454.0,973099.0,989593.0,1005717.0,1028021.0,1049329.0,1084126.0,1111617.0,1139108.0
"Charlottesville, VA",16820,89335.0,90068.0,90509.0,99512.0,99207.0,101909.0,101713.0,101682.0,103303.0,97342.0,98254.5,99167.0
"Chattanooga, TN-GA",16860,234356.0,233875.0,236312.0,236065.0,237911.0,239343.0,241906.0,244041.0,245558.0,251893.0,251311.5,250730.0
"Cheyenne, WY",16940,40536.0,41095.0,40825.0,40962.0,41651.0,41960.0,42287.0,43345.0,43892.0,44385.0,44600.0,44815.0
"Chicago-Naperville-Elgin, IL-IN-WI",16980,3796750.0,3797411.0,3794491.0,3791588.0,3803831.0,3812007.0,3820657.0,3843175.0,3858653.0,3869464.0,3912812.5,3956161.0
"Chico, CA",17020,95867.0,95901.0,96000.0,96586.0,97491.0,98040.0,98439.0,99405.0,100038.0,86212.0,88260.5,90309.0
"Cincinnati, OH-KY-IN",17140,918007.0,919561.0,921419.0,914522.0,918989.0,922355.0,926012.0,932500.0,938179.0,951030.0,958033.0,965036.0
"Clarksville, TN-KY",17300,114033.0,115074.0,117158.0,112829.0,114809.0,115550.0,117111.0,118925.0,120476.0,129944.0,132051.0,134158.0
"Cleveland, TN",17420,49485.0,50551.0,50625.0,51524.0,51095.0,51038.0,51685.0,52317.0,53586.0,52950.0,53790.0,54630.0
"Cleveland-Elyria, OH",17460,955798.0,956811.0,954501.0,953523.0,956688.0,957518.0,958506.0,962092.0,963538.0,964496.0,967379.0,970262.0
"Coeur d'Alene, ID",17660,63348.0,64305.0,64288.0,64779.0,66122.0,67022.0,68307.0,70758.0,72500.0,74620.0,76444.5,78269.0
