msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Median Rent,average_value_Median Rent,pct_coef_Median Rent,average_pct_Median Rent,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Median Rent,normalized_pct_coef_Median Rent,normalized_average_pct_Median Rent,Median Rent_weight,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"San Jose, CA",26.144549478123526,1202.7272727272727,-5.142721535373114e-07,0.0011842021915166316,0.17121313738417204,6.868938039594534,-4.2547500038574504e-07,0.002398575327807264,264.4464833282309,7755.073935584781,-1.0659057349510474e-06,0.006239156900182402,0.13906943405391659,0.1430306723748929,0.36787699291206477,0.8748234198780461,0.2757929373507861,0.246897981893846,0.13475439400723038,0.2726508626826234,1.0,0.2245731745789146,0.6716710500290546,1.6716710500290546,2.819145332589724,2598.0,0.0076,1162200.0,3277.120039914307,1740114.7781592829,0.0018832780923686478
"Los Angeles, CA",68.42351094447231,4737.272727272727,-1.2688678164766976e-07,0.0009310469166174224,0.32014972192422575,9.834449089508588,-1.554022183314099e-07,0.00421436942608705,152.9067917321645,4168.908508861298,6.394993472355525e-07,0.005574771738499909,0.2967972510016411,0.3197195510684849,0.3106618172497023,0.9181208855010458,0.5861913384006561,0.3048178072828319,0.37691144011244415,0.6700071093127722,0.5656265027203639,0.46488358950330105,0.582901820666683,1.1485283233870467,2.7366563182008647,2598.0,0.0076,6273400.0,2924.553381752241,1010073.0992598324,0.002895387852518113
"Chattanooga, TN",11.189897735901969,418.1818181818182,7.309571484710782e-08,0.0016768677297878717,0.2220234847315525,6.157673202647145,1.1426447336852527e-06,0.005299235546318261,49.34961950078389,1371.4708224787316,1.2571638824621573e-06,0.006438613505772394,0.08327892996616815,0.4109328121465867,0.47922345932957905,1.0417258486253262,0.3816866680424145,0.5831970361544948,0.5215908260316368,0.712434160052844,0.16233965095610114,0.5519193455795474,0.6983206656294697,0.8606603165855709,2.614820325263741,4873.0,0.0071,286100.0,1540.7086406428016,299111.29460146767,0.005150954405435018
"Grand Rapids, MI",11.884871898578655,584.5454545454545,-1.8724775437595953e-08,0.0013425047363308487,0.215516897044676,6.865604513679978,3.909186047628978e-08,0.005842600211756853,54.14089110954129,1534.607009364518,-2.467318336514081e-07,0.006888032973322915,0.08587163219234072,0.36905291515831845,0.40365467091206103,0.8931809740164628,0.3681263032701574,0.3465290193422065,0.5940547592855288,0.7781179109206074,0.1809984922648033,0.3400038263183501,0.758368093079351,0.9393665853441544,2.6106654702812246,3564.0,0.0154,585700.0,1598.2777921109964,319844.50128496205,0.0049970463324833835
"Durham, NC",13.288517005094866,455.45454545454544,3.043262667393675e-07,0.0014438818752078924,0.21138137734519322,6.045365543591883,6.881036686921403e-07,0.0044151394658797334,71.67039184635192,1985.261633687505,8.785568373878711e-07,0.0068177164629953805,0.09110813447956867,0.5163985057380908,0.42656673865904793,0.9442416117976645,0.3595074759605753,0.4857161315025475,0.4036864361478873,0.583440174128175,0.24926433047591523,0.49856943062653064,0.7489730270947054,0.9982373575706206,2.52591914349646,4375.0,0.0084,351500.0,1735.7898789638784,415734.9550236545,0.004175231978906165
"Indianapolis, IN",40.65249939181109,1568.1818181818182,2.994255790298821e-07,0.0015308743293448062,0.18602871673939372,5.454913428581037,1.6024097435808401e-06,0.004544635722864578,48.894934762618,1288.342341878856,7.010599541275497e-07,0.006457526279140301,0.19319345197933813,0.5141632715783891,0.4462277492649901,1.0856489505093183,0.3066700529815096,0.6817982683503414,0.4209562527547589,0.5742912792455137,0.16056895393291018,0.4735581590467699,0.7008476220002633,0.8614165759331734,2.5213568056880056,4451.0,0.0085,1179500.0,1529.352250592349,280482.5278091416,0.005452575825446849
"Greenville, SC",16.933942466326222,628.1818181818181,2.620470891712884e-07,0.001571739459923343,0.19217013963879634,5.723025044352307,9.253031133215533e-07,0.004677319256727839,47.29564066196938,1333.6908198129054,6.568835032166871e-07,0.006361912396023495,0.1047079245383506,0.4971147097595496,0.4554636051066164,1.0156351347515833,0.3194693786410353,0.5365859389329609,0.43865112942473333,0.598385818745251,0.1543407587340817,0.46733320911600934,0.6880725463210764,0.8424133050551581,2.4564342585519925,4319.0,0.0057,465900.0,1570.9723763912125,293255.88205350976,0.005357002101340837
"Bakersfield, CA",11.529888972154861,315.45454545454544,7.567357954980928e-07,0.0012231417662662467,0.2509672550631519,7.016784706298001,1.8535694934968404e-06,0.005270369923781065,55.093081279360156,1545.5208959660958,7.908932545140584e-07,0.006110487247804156,0.08454731673858708,0.7227453070041118,0.3766776572885189,0.8379026313156248,0.44200831472867247,0.7356620037079807,0.5177412629703748,0.738745420334711,0.18470664465630673,0.4862166634193673,0.6544793568024686,0.8391860014587753,2.415834053109111,2598.0,0.0076,293100.0,1754.401058597983,349602.8949897485,0.005018268108590542
"San Francisco, CA",44.32871293960535,2344.5454545454545,-5.817203267245849e-07,0.0011301917031955528,0.1622424200411954,6.51792238792078,-1.237323269391845e-06,0.0024750589780307398,176.4481777785562,4941.1626640528975,-2.494804729091523e-06,0.005173582249400724,0.20690810147442454,0.1122671408758626,0.3556701780308389,0.9182484575361023,0.2570970855012934,0.07278895237407924,0.14495436923074687,0.27350291198139354,0.6573046671608131,0.023225521898843204,0.5292984534791453,1.1866031206399583,2.378354490157454,2598.0,0.0076,2472300.0,3023.5909346900467,1265181.2847778692,0.0023898479775733526
"Tucson, AZ",9.69962023150262,333.6363636363636,2.102149382739578e-07,0.0009409200294957853,0.24054327875563872,6.469436616570969,1.2063009657474598e-06,0.005545094157841202,62.7191540665579,1602.0630956259968,9.224671922735911e-07,0.006252128725636677,0.07771923291442523,0.4734737432004525,0.31289322201855324,0.7035056769515318,0.4202837291379262,0.5968487555833042,0.5543789021589506,0.7645207667279137,0.21440516596009854,0.5047568846879054,0.6734042298401195,0.887809395800218,2.3558358394796635,4086.0,0.0066,403800.0,1563.7728356548598,356957.8355340108,0.004380833476635826
