msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Indianapolis, IN",40.65249939181109,1568.1818181818182,2.994255790298821e-07,0.0015308743293448062,48.894934762618,1288.342341878856,7.010599541275497e-07,0.006457526279140301,0.19319345197933813,0.4211700078543807,0.5264785477055446,0.5264785477055446,0.18318362412536723,0.4735581590467699,0.7243033961270036,0.7243033961270036,1.250781943832548,4451.0,0.0085,1179500.0,1529.352250592349,280482.5278091416,0.005452575825446849
"Greenville, SC",16.933942466326222,628.1818181818181,2.620470891712884e-07,0.001571739459923343,47.29564066196938,1333.6908198129054,6.568835032166871e-07,0.006361912396023495,0.1047079245383506,0.4115329127193959,0.5336402080787618,0.5336402080787618,0.17712321945677426,0.46733320911600934,0.713248000734071,0.713248000734071,1.2468882088128328,4319.0,0.0057,465900.0,1570.9723763912125,293255.88205350976,0.005357002101340837
"San Diego, CA",41.37253131876002,1753.6363636363637,-1.1614164191949144e-08,0.0013491832169169988,153.22073518012,4625.131610360518,8.34997682181807e-07,0.0064858891686772726,0.19587963584080104,0.34097630266377726,0.4946369746671505,0.4946369746671505,0.5785183956652022,0.4924314644795647,0.7275828671420468,0.7275828671420468,1.2222198418091974,2598.0,0.0076,1560300.0,2971.155757070846,1006021.5507693476,0.0029533718783645107
"Sacramento, CA",45.89053483470843,1729.090909090909,-9.94307188129875e-08,0.0018334422119667564,92.00038564251605,2431.768246461992,-1.280477611605897e-06,0.005550206281158915,0.2127347052847343,0.3183350323901212,0.5795039114938098,0.5795039114938098,0.3465284871173526,0.1943376268790578,0.6193941402886544,0.6193941402886544,1.1988980517824641,2598.0,0.0076,1095100.0,2257.290357841637,590018.0704427218,0.003825798684687526
"San Jose, CA",26.144549478123526,1202.7272727272727,-5.142721535373114e-07,0.0011842021915166316,264.4464833282309,7755.073935584781,-1.0659057349510474e-06,0.006239156900182402,0.13906943405391659,0.2113786950020622,0.46572386328795606,0.46572386328795606,1.0,0.2245731745789146,0.6990543449704946,0.6990543449704946,1.1647782082584506,2598.0,0.0076,1162200.0,3277.120039914307,1740114.7781592829,0.0018832780923686478
"Bakersfield, CA",11.529888972154861,315.45454545454544,7.567357954980928e-07,0.0012231417662662467,55.093081279360156,1545.5208959660958,7.908932545140584e-07,0.006110487247804156,0.08454731673858708,0.5390758429744527,0.47254806782336795,0.47254806782336795,0.20667103402167902,0.4862166634193673,0.6841768623733814,0.6841768623733814,1.1567249301967493,2598.0,0.0076,293100.0,1754.401058597983,349602.8949897485,0.005018268108590542
"Detroit, MI",9.116276225290369,979.0909090909091,1.0121617824898373e-07,0.0009382215599264645,39.64194680694601,1142.9378256583884,-8.8205268851039e-07,0.006504052980542879,0.07554298322809763,0.3700667434046887,0.42261547927208565,0.42261547927208565,0.14812012243281036,0.2504800997644657,0.7296830655177555,0.7296830655177555,1.1522985447898413,3564.0,0.0154,2034200.0,1403.2156452517402,247627.53654607548,0.005666638148664242
"Albuquerque, NM",8.567753781659068,386.3636363636364,5.275052150998583e-07,0.0010622412154659795,52.84656803965804,1474.0094679483957,1.8734814422320959e-06,0.006074932010030993,0.07349664044719326,0.4799745545194386,0.4443500642349412,0.4443500642349412,0.1981580411203578,0.6387652979345162,0.6800657730727634,0.6800657730727634,1.1244158373077047,4529.0,0.008,420900.0,1526.9191877924434,334797.15817159414,0.004560729237163504
"Tucson, AZ",9.69962023150262,333.6363636363636,2.102149382739578e-07,0.0009409200294957853,62.7191540665579,1602.0630956259968,9.224671922735911e-07,0.006252128725636677,0.07771923291442523,0.39816930784562604,0.42308838911745605,0.42308838911745605,0.23556946308723922,0.5047568846879054,0.700554217736774,0.700554217736774,1.12364260685423,4086.0,0.0066,403800.0,1563.7728356548598,356957.8355340108,0.004380833476635826
"Portland, OR",28.887317399634387,1185.4545454545455,-5.544777757029499e-07,0.0011180787394517596,85.87514217288397,2437.582219407853,-2.113308799862125e-06,0.005911928974095113,0.1493017288324552,0.20101269553987608,0.4541356534941999,0.4541356534941999,0.32331733783307043,0.07698251254152148,0.6612184785818778,0.6612184785818778,1.1153541320760776,3016.0,0.0097,1231700.0,1809.646129511547,564868.1451757918,0.003203661146351897
