msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Rent,average_value_Rent,pct_coef_Rent,average_pct_Rent,trend_coef_Price,average_value_Price,pct_coef_Price,average_pct_Price,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Rent,normalized_pct_coef_Rent,normalized_average_pct_Rent,Rent_weight,normalized_trend_coef_Price,normalized_pct_coef_Price,normalized_average_pct_Price,Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Seattle, WA",62.47442335283947,2580.909090909091,-3.4248436032604947e-07,0.0013616560366090016,0.23925182319265076,7.622755937347533,-4.855084360786379e-07,0.00440012574973691,133.0552525998236,3712.2226568766932,-1.9902396398916135e-06,0.007234030036706197,0.27460331420388184,0.2213841538388019,0.4079830223952108,0.8159660447904216,0.417592209502127,0.23402320759639864,0.40168418426500446,0.20084209213250223,0.5321370317267183,0.09139543421564739,0.804476779647983,0.804476779647983,1.8212849165709069,2801.0,0.0098,2146400.0,2193.73452344798,752995.190225948,0.002913344669292928
"Greenville, SC",16.933942466326222,628.1818181818181,2.620470891712884e-07,0.001571739459923343,0.19217013963879634,5.723025044352307,9.253031133215533e-07,0.004677319256727839,47.40311926915085,1336.6950384708412,6.19765408036846e-07,0.006359148819447796,0.1047079245383506,0.4971147097595496,0.4554636051066164,0.9109272102132328,0.3194693786410353,0.5365859389329609,0.43865112942473333,0.21932556471236667,0.16840806405095957,0.45591532478604,0.6867333447624999,0.6867333447624999,1.8169861196880994,4319.0,0.0057,465900.0,1570.9723763912125,294819.8955764363,0.005328583314635614
"Durham, NC",13.288517005094866,455.45454545454544,3.043262667393675e-07,0.0014438818752078924,0.21138137734519322,6.045365543591883,6.881036686921403e-07,0.0044151394658797334,71.21727303643583,1970.2288174862235,8.473376605195848e-07,0.006798024499936616,0.09110813447956867,0.5163985057380908,0.42656673865904793,0.8531334773180959,0.3595074759605753,0.4857161315025475,0.4036864361478873,0.20184321807394365,0.2695368652730588,0.48769863977913014,0.7457981973265881,0.7457981973265881,1.8007748927186276,4375.0,0.0084,351500.0,1735.7898789638784,414599.8794218342,0.004186662768412918
"Indianapolis, IN",40.65249939181109,1568.1818181818182,2.994255790298821e-07,0.0015308743293448062,0.18602871673939372,5.454913428581037,1.6024097435808401e-06,0.004544635722864578,48.49795660308834,1283.0579231886186,6.707909157180301e-07,0.006434436205488082,0.19319345197933813,0.5141632715783891,0.4462277492649901,0.8924554985299802,0.3066700529815096,0.6817982683503414,0.4209562527547589,0.21047812637737945,0.17305738261152082,0.46304167593658907,0.6968656864576518,0.6968656864576518,1.7997993113650113,4451.0,0.0085,1179500.0,1529.352250592349,280788.7054973604,0.0054466302263953634
"San Diego, CA",41.37253131876002,1753.6363636363637,-1.1614164191949144e-08,0.0013491832169169988,0.40296358580183583,11.808699048005012,7.855635025571077e-07,0.0052484317192259015,144.064101389551,4375.401201377196,7.292814923834091e-07,0.0064561028098935255,0.19587963584080104,0.37229610919450756,0.4051640624901998,0.8103281249803996,0.7587835259531966,0.5066173734454058,0.5148155508442239,0.25740777542211196,0.5788870314042177,0.47121061745736714,0.6997816256442265,0.6997816256442265,1.767517526046738,2598.0,0.0076,1560300.0,2971.155757070846,957093.773617926,0.0031043517771926683
"Bakersfield, CA",11.529888972154861,315.45454545454544,7.567357954980928e-07,0.0012231417662662467,0.2509672550631519,7.016784706298001,1.8535694934968404e-06,0.005270369923781065,55.23724454594705,1553.304905626424,7.700444252224197e-07,0.006133405923679488,0.08454731673858708,0.7227453070041118,0.3766776572885189,0.7533553145770377,0.44200831472867247,0.7356620037079807,0.5177412629703748,0.2588706314851874,0.20167633407256824,0.4769036715108824,0.6563523702662719,0.6563523702662719,1.668578316328497,2598.0,0.0076,293100.0,1754.401058597983,351384.69692782685,0.004992821468711628
"Tucson, AZ",9.69962023150262,333.6363636363636,2.102149382739578e-07,0.0009409200294957853,0.24054327875563872,6.469436616570969,1.2063009657474598e-06,0.005545094157841202,61.913421972274,1579.5254718875349,8.567601174316037e-07,0.006305628441107282,0.07771923291442523,0.4734737432004525,0.31289322201855324,0.6257864440371065,0.4202837291379262,0.5968487555833042,0.5543789021589506,0.2771894510794753,0.23002728143220053,0.48901460388624923,0.679530454749693,0.679530454749693,1.5825063498662748,4086.0,0.0066,403800.0,1563.7728356548598,350826.115734131,0.0044574014462479316
"Columbia, SC",9.784084142983138,478.1818181818182,4.5764129929849585e-07,0.0012354894214141497,0.1858377931242625,5.676927359226107,1.6180481114311674e-06,0.00494121300263643,36.93268175789796,1029.7729574086554,1.4728795141021707e-06,0.0056046492625605555,0.07803433782492053,0.5863264461185063,0.37946832897642596,0.7589366579528519,0.3062721495043861,0.6851520736778159,0.4738443983396418,0.2369221991698209,0.12394447302306706,0.5750633934205472,0.5851911380091455,0.5851911380091455,1.5810499951318184,4319.0,0.0057,433800.0,1493.6250179330352,248244.5607102808,0.006016748216595177
"Albuquerque, NM",8.567753781659068,386.3636363636364,5.275052150998583e-07,0.0010622412154659795,0.20938850677265045,5.918622141460483,2.0536130047910164e-06,0.005075563679613396,52.90653743771475,1474.5703213340482,1.8343898890750895e-06,0.006077572110148152,0.07349664044719326,0.6181918128562127,0.34031280855339613,0.6806256171067923,0.3553541388800526,0.7785633473984651,0.4917616077356847,0.24588080386784236,0.19177879086533678,0.6255528445539007,0.648838133066694,0.648838133066694,1.5753445540413287,4529.0,0.008,420900.0,1526.9191877924434,335718.3139896525,0.004548215346510724
"Richmond, VA",15.311589675644983,769.0909090909091,2.333865989748203e-07,0.0011953882517595931,0.20091992531146033,5.830742276361714,1.2501215102067328e-06,0.00456245513456437,52.94213183656224,1516.7046523115575,9.971649702750722e-07,0.00555880147262642,0.09865550141540155,0.4840424818359168,0.3704051345912205,0.740810269182441,0.3377047872930551,0.6062465122332904,0.4233326764388331,0.21166633821941655,0.19192994546527944,0.5086238999045365,0.5790208417880542,0.5790208417880542,1.5314974491899118,3430.0,0.0082,724100.0,1630.087015609046,367636.83344252687,0.0044339600043472776
