msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Albuquerque, NM",8.567753781659068,386.3636363636364,5.275052150998583e-07,0.0010622412154659795,0.07349664044719326,0.5288494324704713,0.4443500642349412,0.4443500642349412,0.4443500642349412,4529.0,0.008,420900.0,1526.9191877924434,334797.15817159414,0.004560729237163504
"Boston, MA",29.353154708564766,1525.4545454545455,-2.8686553220297534e-08,0.000978281379876615,0.1510396026884361,0.3989270201178228,0.4296360080464607,0.4296360080464607,0.4296360080464607,2746.0,0.0123,1931100.0,3079.325954400825,721178.6944309538,0.004269851533579438
"Tucson, AZ",9.69962023150262,333.6363636363636,2.102149382739578e-07,0.0009409200294957853,0.07771923291442523,0.4547326969679571,0.42308838911745605,0.42308838911745605,0.42308838911745605,4086.0,0.0066,403800.0,1563.7728356548598,356957.8355340108,0.004380833476635826
"Detroit, MI",9.116276225290369,979.0909090909091,1.0121617824898373e-07,0.0009382215599264645,0.07554298322809763,0.4292713675263813,0.42261547927208565,0.42261547927208565,0.42261547927208565,3564.0,0.0154,2034200.0,1403.2156452517402,247627.53654607548,0.005666638148664242
"Los Angeles, CA",68.42351094447231,4737.272727272727,-1.2688678164766976e-07,0.0009310469166174224,0.2967972510016411,0.3759881502934831,0.421358114913991,0.421358114913991,0.421358114913991,2598.0,0.0076,6273400.0,2924.553381752241,1010073.0992598324,0.002895387852518113
"Oxnard, CA",3.9634160382469665,222.72727272727272,2.4086788891848174e-07,0.0008613518615628838,0.05631948860687584,0.4618930066314594,0.4091439776549891,0.4091439776549891,0.4091439776549891,2598.0,0.0076,318700.0,3019.2431142585933,898423.0705033406,0.003360602831099457
"Virginia Beach, VA",8.235264690115919,520.9090909090909,3.742592153714323e-07,0.0007383559200644697,0.07225624151710665,0.4930522648348479,0.38758879973617966,0.38758879973617966,0.38758879973617966,3430.0,0.0082,820400.0,1696.5153931302723,351779.2192959188,0.004822670868750645
"Winston, NC",4.4789359712029935,173.63636363636363,-5.366338038449237e-08,0.0007326777700122103,0.05824271072014629,0.3930926122338509,0.3865936975146342,0.3865936975146342,0.3865936975146342,4375.0,0.0084,276900.0,1549.40203071782,264856.805241012,0.005849961186792649
"Minneapolis, MN",11.684490104610505,1175.4545454545455,4.09756519867174e-09,0.0007267618665185206,0.08512407875624647,0.40658515530510153,0.3855569287334575,0.3855569287334575,0.3855569287334575,4308.0,0.0112,1993500.0,1655.4321563696042,382267.44623823854,0.004330560116118017
"Worcester, MA",1.7790189612147387,161.8181818181818,2.4501126113062017e-07,0.0007227891157425645,0.04817027750145371,0.4628608686958366,0.38486069966476155,0.38486069966476155,0.38486069966476155,2746.0,0.0123,293600.0,1986.5728562526451,452231.1737325387,0.004392825996174151
"Jackson, MS",0.11079959700991963,122.72727272727273,3.9449573741372804e-07,0.0005244194786048862,0.04194674245281311,0.4977793714033313,0.35009619629903505,0.35009619629903505,0.35009619629903505,4700.0,0.0081,286500.0,1330.664573425718,193253.42843241023,0.006885593617766598
"Memphis, TN",7.262282621771027,282.72727272727275,-3.6587587936124497e-07,0.0004932433445883515,0.06862639035126211,0.3201620092581532,0.344632543536511,0.344632543536511,0.344632543536511,4873.0,0.0071,653700.0,1436.9475415330808,237995.58104964963,0.006037706814536657
"Greensboro, NC",1.6896543490326397,132.72727272727272,7.460871439957219e-08,0.00046701188277990373,0.04783688981398458,0.4230560545951199,0.34003545017340325,0.34003545017340325,0.34003545017340325,4375.0,0.0084,365600.0,1454.0073377924534,256174.5759628245,0.005675845592122521
"Springfield, MA",-1.971366911565493,51.81818181818182,-7.413029932774063e-08,0.000347417700666503,0.03417891735662048,0.3883116865999384,0.31907643443594425,0.31907643443594425,0.31907643443594425,2746.0,0.0123,331500.0,1861.018664857386,343195.36369579803,0.005422621811718174
"Urban Honolulu, HI",-11.13303007185007,-1.8181818181818181,7.457282409689481e-07,0.0002246094544875646,0.0,0.579824767897382,0.29755415033425214,0.29755415033425214,0.29755415033425214,1154.0,0.0028,463200.0,2696.7146143172727,1078145.286280673,0.0025012534475944816
