msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Median Rent,average_value_Median Rent,pct_coef_Median Rent,average_pct_Median Rent,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Median Rent,normalized_pct_coef_Median Rent,normalized_average_pct_Median Rent,Median Rent_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Fresno, CA",18.35137154009765,678.1818181818181,-5.7646051159406974e-08,0.0019911669090443263,0.30048176648755653,8.2523003792373,9.736030450138568e-07,0.00579238208704733,0.10999584992086375,0.41859956321363134,0.5947497467135855,0.5947497467135855,0.6806018891158836,0.6226884768721298,0.7967095443963026,0.7967095443963026,1.391459291109888,2598.0,0.0076,393600.0,1933.58343079922,399664.8795423658,0.004838011868876895
"Knoxville, TN",16.018913473142412,514.5454545454545,3.138470910861558e-07,0.0013172066023008082,0.2762104600979801,8.151160584948675,2.497247434776702e-06,0.0064198939127180785,0.10129427575103045,0.6204996845716418,0.3945499637913297,0.3945499637913297,0.6049571605055657,0.9947011500260223,0.9412881959095505,0.9412881959095505,1.3358381597008802,4873.0,0.0071,439100.0,1777.676192019433,340442.902619132,0.005221657371451198
"Atlanta, GA",138.3279284013837,4861.818181818182,-1.1794010584231878e-07,0.001835613954820056,0.29316713527019234,7.826275374994767,-3.171076305422202e-08,0.005435413630877769,0.5575858507702728,0.385830783461569,0.5485427707878271,0.5485427707878271,0.657804875867363,0.37723128252237964,0.7144640536908566,0.7144640536908566,1.2630068244786838,4006.0,0.0092,3078000.0,1919.1852151724595,388469.2969962892,0.004940378120000542
"Sacramento, CA",45.89053483470843,1729.090909090909,-9.94307188129875e-08,0.0018334422119667564,0.31979862838572937,9.166122515316083,-8.3507375358014e-07,0.005400843909662878,0.2127347052847343,0.3958903163641013,0.5478976549799031,0.5478976549799031,0.7408054378015781,0.18108235457931177,0.7064991939512087,0.7064991939512087,1.254396848931112,2598.0,0.0076,1095100.0,2257.290357841637,590018.0704427218,0.003825798684687526
"Charlotte, NC",72.83060444302997,2461.818181818182,-2.0014954351989867e-07,0.002097838119886929,0.23654034391357928,6.697940542104274,4.880767066117542e-07,0.004909515827479688,0.3132385544893173,0.34115137069086005,0.6264364099206967,0.6264364099206967,0.4813200095198435,0.5041424747674647,0.59329726106858,0.59329726106858,1.2197336709892768,4375.0,0.0084,1363200.0,1771.2063150325885,384642.9025484119,0.004604806960683906
"Salt Lake City, UT",45.77566626435933,1469.090909090909,-1.4581137507988475e-07,0.002024234051573029,0.23175952002812392,6.456958436079356,1.3727155460843833e-07,0.004965325720390872,0.21230617137073332,0.3706832288998574,0.6045723352100693,0.6045723352100693,0.4664199411203811,0.4184899673781098,0.6061558538920269,0.6061558538920269,1.2107281891020962,2876.0,0.0063,826800.0,1693.4366801437557,561815.4032773963,0.0030142225903116104
"Grand Rapids, MI",11.884871898578655,584.5454545454545,-1.8724775437595953e-08,0.0013425047363308487,0.215516897044676,6.865604513679978,3.909186047628978e-08,0.005842600211756853,0.08587163219234072,0.43975260588930964,0.4020647697679963,0.4020647697679963,0.41579766361370785,0.394518435235221,0.8082797944776716,0.8082797944776716,1.210344564245668,3564.0,0.0154,585700.0,1598.2777921109964,319844.50128496205,0.0049970463324833835
"Raleigh, NC",48.022469914711735,1580.909090909091,2.42136177830447e-07,0.0025237646160858125,0.21443322692093167,5.933104537690277,8.324179189266397e-07,0.00425221132972556,0.22068819927750508,0.5815260389169642,0.7529577958638365,0.7529577958638365,0.41242026269848747,0.5882167480893723,0.44185438137893546,0.44185438137893546,1.194812177242772,4375.0,0.0084,740500.0,1753.1061993046617,447139.8522762134,0.003920711138540406
"Chattanooga, TN",11.189897735901969,418.1818181818182,7.309571484710782e-08,0.0016768677297878717,0.2220234847315525,6.157673202647145,1.1426447336852527e-06,0.005299235546318261,0.08327892996616815,0.48965546013736855,0.5013872343665028,0.5013872343665028,0.4360763025898276,0.6639616577400633,0.6830886388766008,0.6830886388766008,1.1844758732431035,4873.0,0.0071,286100.0,1540.7086406428016,299111.29460146767,0.005150954405435018
"Nashville, TN",74.4290037263343,2401.818181818182,-1.7650323127516545e-07,0.0024465886518417654,0.23012490054899318,6.5034272941988815,3.1085597449001065e-07,0.004301160661452455,0.3192016155679832,0.35400273393009113,0.7300326901359796,0.7300326901359796,0.46132543384931446,0.4608723004814808,0.45313230170495405,0.45313230170495405,1.1831649918409337,4873.0,0.0071,1163000.0,1904.4590921551917,446525.7677337154,0.0042650597787917835
"San Diego, CA",41.37253131876002,1753.6363636363637,-1.1614164191949144e-08,0.0013491832169169988,0.40296358580183583,11.808699048005012,7.855635025571077e-07,0.0052484317192259015,0.19587963584080104,0.44361710057351234,0.40404861117559804,0.40404861117559804,1.0,0.5767767842764197,0.6713834430344757,0.6713834430344757,1.0754320542100737,2598.0,0.0076,1560300.0,2971.155757070846,1006021.5507693476,0.0029533718783645107
"Bakersfield, CA",11.529888972154861,315.45454545454544,7.567357954980928e-07,0.0012231417662662467,0.2509672550631519,7.016784706298001,1.8535694934968404e-06,0.005270369923781065,0.08454731673858708,0.8612020637013071,0.36660802186046254,0.36660802186046254,0.5262833815393764,0.8375408879631752,0.6764380028076195,0.6764380028076195,1.043046024668082,2598.0,0.0076,293100.0,1754.401058597983,349602.8949897485,0.005018268108590542
"Tucson, AZ",9.69962023150262,333.6363636363636,2.102149382739578e-07,0.0009409200294957853,0.24054327875563872,6.469436616570969,1.2063009657474598e-06,0.005545094157841202,0.07771923291442523,0.5641773952747267,0.2827741077974935,0.2827741077974935,0.49379568408437424,0.6795039491116426,0.7397344343226249,0.7397344343226249,1.0225085421201183,4086.0,0.0066,403800.0,1563.7728356548598,356957.8355340108,0.004380833476635826
"Greenville, SC",16.933942466326222,628.1818181818181,2.620470891712884e-07,0.001571739459923343,0.19217013963879634,5.723025044352307,9.253031133215533e-07,0.004677319256727839,0.1047079245383506,0.5923472761321781,0.47015890148802,0.47015890148802,0.34303441389192324,0.6108955763615317,0.539799198224236,0.539799198224236,1.009958099712256,4319.0,0.0057,465900.0,1570.9723763912125,293255.88205350976,0.005357002101340837
