msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Median Rent,average_value_Median Rent,pct_coef_Median Rent,average_pct_Median Rent,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Median Rent,normalized_pct_coef_Median Rent,normalized_average_pct_Median Rent,Median Rent_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Charleston, SC",23.13891377158888,874.5454545454545,4.483590361028456e-07,0.0024781682365794546,0.26770237936225993,8.449148204335993,1.8108384710865322e-06,0.005435451640719667,0.12785647275851744,0.6936046088208757,0.7394133998691811,0.7394133998691811,0.5784406043747171,0.8271076910963315,0.7144728111540009,0.7144728111540009,1.4538862110231818,4319.0,0.0057,424600.0,2072.119631688651,433992.4603687584,0.0047745521429750064
"Orlando, FL",83.07922491635357,3183.6363636363635,8.256466709740644e-08,0.002596221125470912,0.28988318025101034,8.052528467705747,5.612690037460334e-07,0.005262237798448022,0.3514725242444568,0.4948016725194124,0.7744809884095387,0.7744809884095387,0.6475699967797999,0.5220130896525005,0.6745643620784884,0.6745643620784884,1.449045350488027,5854.0,0.0089,1482300.0,2023.827542693077,412593.84462681046,0.004905132660240293
"Las Vegas, NV",55.47021768720873,2224.5454545454545,7.546262778338372e-07,0.0026101435115560017,0.2699689577330991,6.9821211711228734,7.910782058552746e-08,0.00519370005794514,0.24847310592116106,0.8600555772013262,0.7786166305892132,0.7786166305892132,0.5855046949096121,0.4042887230983714,0.6587732746530367,0.6587732746530367,1.4373899052422499,2707.0,0.006,1149800.0,1772.931503609456,437748.89684152027,0.004050110728780012
"Ogden, UT",16.877446940192517,564.5454545454545,-5.403186922179476e-08,0.0021634959263308598,0.2705116449667492,7.186395564195222,2.3795880766926157e-07,0.005732940278431724,0.10449715975853271,0.42056380881828237,0.6459400490307501,0.6459400490307501,0.5871960512729999,0.44307374454773496,0.7830141586177689,0.7830141586177689,1.4289542076485189,2876.0,0.0063,298500.0,1696.335344394168,500609.20154029474,0.003388542078680964
"Spokane, WA",10.398601963877224,382.72727272727275,1.7700887062366964e-07,0.0015933353664819385,0.255148242345367,6.936809889403717,-1.4485331304756614e-07,0.006434663730161005,0.08032688596242016,0.5461304697032612,0.47657396148751857,0.47657396148751857,0.5393139800250919,0.3496064228416878,0.9446911601273364,0.9446911601273364,1.421265121614855,2801.0,0.0098,274400.0,1511.3342190016103,410051.4031863545,0.003685718930011221
"North Port, FL",17.82531053075127,646.3636363636364,1.7086053460812142e-07,0.0022385591909846268,0.37676882835094166,9.9874176625084,1.3316479122003835e-06,0.0055506434001201185,0.10803330278849006,0.5427889550249944,0.6682375777409073,0.6682375777409073,0.9183605823855873,0.7101086315000887,0.7410129790970574,0.7410129790970574,1.4092505568379647,5854.0,0.0089,346400.0,2419.1712082560293,475419.621436009,0.005088496770387604
"Fresno, CA",18.35137154009765,678.1818181818181,-5.7646051159406974e-08,0.0019911669090443263,0.30048176648755653,8.2523003792373,9.736030450138568e-07,0.00579238208704733,0.10999584992086375,0.41859956321363134,0.5947497467135855,0.5947497467135855,0.6806018891158836,0.6226884768721298,0.7967095443963026,0.7967095443963026,1.391459291109888,2598.0,0.0076,393600.0,1933.58343079922,399664.8795423658,0.004838011868876895
"Fayetteville, AR",21.203890578171873,712.7272727272727,-1.3020001946223173e-07,0.0026950190704017013,0.1861119729642903,5.7077471536569995,1.2217604555729226e-06,0.004826579480524,0.12063758720751348,0.37916773166810425,0.8038288994517779,0.8038288994517779,0.3241533381635113,0.6832785346869952,0.5741887363942105,0.5741887363942105,1.3780176358459886,6099.0,0.0062,311600.0,1529.0849886735466,336969.44097802025,0.004537755661865152
"Huntsville, AL",17.42268950920958,550.0,4.4289379280560314e-07,0.0022767535644842725,0.2381208678814787,5.927520138949332,9.623488345328741e-07,0.005365305943946172,0.10653126648999726,0.6906343432641702,0.6795832092372598,0.6795832092372598,0.48624592099303887,0.619940651360221,0.6983112507911682,0.6983112507911682,1.377894460028428,5144.0,0.0041,280400.0,1467.9633944586967,310888.98905988544,0.004721824979706593
"Knoxville, TN",16.018913473142412,514.5454545454545,3.138470910861558e-07,0.0013172066023008082,0.2762104600979801,8.151160584948675,2.497247434776702e-06,0.0064198939127180785,0.10129427575103045,0.6204996845716418,0.3945499637913297,0.3945499637913297,0.6049571605055657,0.9947011500260223,0.9412881959095505,0.9412881959095505,1.3358381597008802,4873.0,0.0071,439100.0,1777.676192019433,340442.902619132,0.005221657371451198
