msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Phoenix, AZ",156.87178464322685,5077.272727272727,9.398914558308057e-09,0.0024329274286629585,0.6267664044398885,0.40782351253503385,0.6845643740437003,0.6845643740437003,0.6845643740437003,4086.0,0.0066,2444200.0,1864.017828788762,468841.499982879,0.003975795292986716
"Cape Coral, FL",18.1539993739398,612.7272727272727,-3.0276200761426635e-07,0.0024325527834761383,0.10925952433918883,0.33490495753128025,0.6844987170507949,0.6844987170507949,0.6844987170507949,5854.0,0.0089,307800.0,2183.705910664381,412982.1747256646,0.005287651730041305
"Port St. Lucie, FL",10.816479772981753,353.6363636363636,-3.830580268394157e-08,0.0024218921043008368,0.08188583992663748,0.39668003235834337,0.6826304209626519,0.6826304209626519,0.6826304209626519,5854.0,0.0089,173700.0,2400.2609250221826,414400.3714495613,0.005792130245023996
"Riverside, CA",105.03709883960208,3374.5454545454545,-4.1842905266059943e-07,0.002359266406894607,0.4333895675825237,0.30788596448233646,0.6716551966305692,0.6716551966305692,0.6716551966305692,2598.0,0.0076,1697100.0,2510.6857778919807,588582.8347445781,0.004265645597669392
"Madera, CA",2.5303698773334085,88.18181818181819,1.4617482171874622e-07,0.0023373665742375165,0.05097330140863733,0.4397733845435262,0.6678172261775212,0.6678172261775212,0.6678172261775212,2598.0,0.0076,44500.0,2072.722222222222,406705.65910126857,0.005096369268139739
"Wilmington, NC",8.524049890389882,279.09090909090907,2.2518792836849916e-07,0.0023046478437011866,0.07333359672230197,0.4582302801829884,0.6620832316294387,0.6620832316294387,0.6620832316294387,4375.0,0.0084,148000.0,1744.1168090795857,430279.9884477959,0.0040534462580315705
"Palm Bay, FL",16.171683255268533,501.8181818181818,-2.53007145962979e-07,0.0022950969917100218,0.10186420564984103,0.34652733675406405,0.6604094340110968,0.6604094340110968,0.6604094340110968,5854.0,0.0089,255800.0,2020.6079150506584,365323.0303034143,0.005531017065561042
"Huntsville, AL",17.42268950920958,550.0,4.4289379280560314e-07,0.0022767535644842725,0.10653126648999726,0.5090848104044889,0.6571947276340018,0.6571947276340018,0.6571947276340018,5144.0,0.0041,280400.0,1467.9633944586967,310888.98905988544,0.004721824979706593
"College Station, TX",8.984211485570496,274.54545454545456,8.844171580843418e-07,0.0022748593253172173,0.07505029650237556,0.6122215053259671,0.6568627600766236,0.6568627600766236,0.6568627600766236,5602.0,0.018,142000.0,1607.7707471956176,301072.1237511923,0.005340151479863637
"Dallas, TX",256.9170975753312,8341.818181818182,2.481041574139955e-07,0.0022681632534080863,1.0,0.4635833471091836,0.655689265897872,0.655689265897872,0.655689265897872,5602.0,0.018,4273800.0,1755.441551907007,380884.3253945528,0.004608857426959142
"North Port, FL",17.82531053075127,646.3636363636364,1.7086053460812142e-07,0.0022385591909846268,0.10803330278849006,0.4455397902185314,0.6505011204608501,0.6505011204608501,0.6505011204608501,5854.0,0.0089,346400.0,2419.1712082560293,475419.621436009,0.005088496770387604
"Crestview, FL",7.550467924395693,249.0909090909091,1.7722543668418617e-07,0.0022373445754983313,0.06970150755099719,0.44702658574340637,0.6502882577225265,0.6502882577225265,0.6502882577225265,5854.0,0.0089,132600.0,1895.5701790265964,408766.27213012095,0.0046372959519105994
"Midland, TX",9.033490349687476,228.1818181818182,1.670352680592366e-06,0.0022358345453577398,0.0752341384745825,0.7958104127027925,0.6500236232317727,0.6500236232317727,0.6500236232317727,5602.0,0.018,122100.0,1577.7443920747144,299552.4347793769,0.005267005735529199
"Tampa, FL",85.9579234942135,2890.909090909091,9.123571850830198e-08,0.0021812144781545857,0.3622119281131578,0.42694000363400625,0.6404513946512347,0.6404513946512347,0.6404513946512347,5854.0,0.0089,1548500.0,2099.0094408498258,395093.27571237047,0.005312693406551199
"Auburn, AL",3.683538046638073,135.45454545454547,6.389168269531432e-07,0.0021667956059419876,0.055275363039521956,0.5548743868127363,0.6379244709808699,0.6379244709808699,0.6379244709808699,5144.0,0.0041,75200.0,1450.3154140983088,317542.6895805218,0.00456730846493174
"Ogden, UT",16.877446940192517,564.5454545454545,-5.403186922179476e-08,0.0021634959263308598,0.10449715975853271,0.3930065358814231,0.6373461983953973,0.6373461983953973,0.6373461983953973,2876.0,0.0063,298500.0,1696.335344394168,500609.20154029474,0.003388542078680964
"Jacksonville, FL",45.29224764189323,1487.2727272727273,-1.1103256805879161e-07,0.0021551465466767895,0.21050270786668906,0.37969158100343836,0.6358829601636099,0.6358829601636099,0.6358829601636099,5854.0,0.0089,799900.0,1730.729818696512,364619.92100426834,0.004746668294835848
"Punta Gorda, FL",3.0564990323347083,100.0,2.805764866417473e-07,0.0021452834303179328,0.05293610276829127,0.47116865057514656,0.6341544378614994,0.6341544378614994,0.6341544378614994,5854.0,0.0089,56200.0,2233.710472033876,368148.8441547035,0.006067411340547973
"Hilton Head Island, SC",4.108533174807699,159.0909090909091,2.160164227035761e-07,0.002145220612165583,0.05686086919801565,0.45608788216711754,0.6341434289092208,0.6341434289092208,0.6341434289092208,4319.0,0.0057,91200.0,2080.472222222222,528179.3054113957,0.003938950657299522
