msa_name,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Port Angeles, WA",95.70708610458459,2485.690200122191,-8.602684829572783e-07,0.007487721599857677,0.3395915388463358,0.32310478196703774,0.7468176855859658,0.7468176855859658,0.7468176855859658,2801.0,0.0098,,1839.4666666666665,490856.6573476871,0.003747461991462249
"Knoxville, TN",59.187028395494565,1723.678391862745,2.538603928794865e-06,0.007482297816201158,0.22439817475111457,0.6701501242773957,0.7464136116139364,0.7464136116139364,0.7464136116139364,4873.0,0.0071,439100.0,1777.676192019433,340442.902619132,0.005221657371451198
"Charlotte, NC",70.85892008273842,1945.9526141950873,4.86524329127228e-07,0.007474214331595971,0.2612142301779385,0.46062043888751913,0.7458113888965294,0.7458113888965294,0.7458113888965294,4375.0,0.0084,1363200.0,1771.2063150325885,384642.9025484119,0.004604806960683906
"The Dalles, OR",78.37993203183913,1953.3720940095463,-1.412544266947506e-06,0.007472117260110708,0.2849373763656737,0.26671409844449695,0.7456551562629394,0.7456551562629394,0.7456551562629394,3016.0,0.0097,,1776.25,386282.5823598485,0.0045983176076660436
"Salem, OR",83.2228873038071,2235.057398840734,-2.129425781986704e-06,0.007464358828144333,0.30021326432797063,0.19351617847476996,0.7450771500923568,0.7450771500923568,0.7450771500923568,3016.0,0.0097,183100.0,1622.1724153681516,442035.06938445295,0.0036697821682498523
"Atlanta, GA",71.32254219288622,1957.0276504478122,4.2952748482020555e-07,0.007425353597262498,0.26267660986425423,0.45480071783098686,0.7421712453641315,0.7421712453641315,0.7421712453641315,4006.0,0.0092,3078000.0,1919.1852151724595,388469.2969962892,0.004940378120000542
"Lake City, FL",47.69525118328022,1294.0919686039424,1.1990595313506985e-06,0.007421330354006891,0.18815024526938542,0.5333745741439082,0.7418715121915556,0.7418715121915556,0.7418715121915556,5854.0,0.0089,,1433.3333333333333,257021.90269274532,0.005576697232090759
"Newport, OR",94.13120016600837,2455.6871225656705,7.96047200083914e-08,0.00741075914672776,0.33462080182995463,0.41907149619959877,0.7410839531764958,0.7410839531764958,0.7410839531764958,3016.0,0.0097,,1906.6666666666667,488176.6938388941,0.003905689662636571
"Gainesville, GA",67.54699935453529,1913.814056818196,8.738848069719984e-07,0.0073901232763573365,0.25076760675424514,0.5001722764811645,0.7395465728835264,0.7395465728835264,0.7395465728835264,4006.0,0.0092,109900.0,1779.342958300551,381031.3506168748,0.004669807236123391
"Breckenridge, CO",287.03723330199927,7002.6173897203425,-1.2634668285043332e-06,0.007365199814530254,0.9430945092980558,0.28193580270040686,0.7376897653751573,0.7376897653751573,0.7376897653751573,5542.0,0.0051,,3300.0,1401460.7740915315,0.002354685954117523
"Berlin, NH",43.09629615162059,1166.0699156031724,2.3856563037450255e-06,0.007334060670909309,0.17364399487844873,0.6545332506614734,0.7353698871784324,0.7353698871784324,0.7353698871784324,2032.0,0.0218,,,233624.44671020092,
"Dixon, IL",27.270077606218468,783.774512210731,-2.768909772622056e-06,0.007330308380887525,0.12372415713686495,0.12822101185872362,0.7350903401261664,0.7350903401261664,0.7350903401261664,4390.0,0.0227,,,157290.711982633,
