msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Median Rent,average_value_Median Rent,pct_coef_Median Rent,average_pct_Median Rent,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Median Rent,normalized_pct_coef_Median Rent,normalized_average_pct_Median Rent,Median Rent_weight,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Orlando, FL",83.07922491635357,3183.6363636363635,8.256466709740644e-08,0.002596221125470912,0.28988318025101034,8.052528467705747,5.612690037460334e-07,0.005262237798448022,72.71912712852382,2056.491427947149,4.786171826468216e-07,0.007302475912748344,0.3514725242444568,0.415251660190196,0.6870048932765392,1.7254823107975352,0.523112906934754,0.45851516148598703,0.516656750441629,0.778213203909006,0.2533484623729916,0.4422135153197054,0.8137422682856497,1.0670907306586412,3.5707862453651824,5854.0,0.0089,1482300.0,2023.827542693077,412593.84462681046,0.004905132660240293
"Miami, FL",106.06067481863508,4387.272727272727,3.5888893657564143e-07,0.0017644061668005775,0.3979484572446109,11.393958436033689,2.1128100763550085e-06,0.005564239273048643,94.21456793643803,2915.839009126271,1.0798793034160372e-06,0.007609685996122921,0.43720816669313584,0.5412848789763822,0.4990078665590342,1.4352238998112041,0.7483315078004404,0.7912587549935775,0.5569321236670335,0.9310978775672537,0.33705902016361744,0.5269379900087969,0.854788944109129,1.1918479642727464,3.558169741651204,5854.0,0.0089,2956000.0,2748.1186255268763,569625.5022350437,0.004824430463074535
"Cape Coral, FL",18.1539993739398,612.7272727272727,-3.0276200761426635e-07,0.0024325527834761383,0.3730576122294705,10.271063114494815,4.1193473208332043e-07,0.006674719580184243,72.93700458160083,2048.496395535749,4.24429925863941e-07,0.007274613459484703,0.10925952433918883,0.2395017660900868,0.6500145009518015,1.4092885262427917,0.6964565536557659,0.4264889244342446,0.705027456275903,1.053255733103786,0.2541969512823403,0.4345779322566994,0.8100195353785886,1.064216486660929,3.5267607460075063,5854.0,0.0089,307800.0,2183.705910664381,412982.1747256646,0.005287651730041305
"Lakeland, FL",22.064434067760725,650.0,2.636871289956376e-09,0.0027746955021153348,0.2919251169265985,8.010190414850133,6.926885300972433e-07,0.005653014905528409,62.40191843975354,1673.8911447365642,1.584407179710001e-07,0.007964308213781718,0.12384796989653622,0.3787960951574205,0.7273415712896949,1.578531112475926,0.5273685025703394,0.4866994011604386,0.5687713762275458,0.8324556275127155,0.21316974252737347,0.3970971146012213,0.9021704071397416,1.1153401496671151,3.5263268896557562,5854.0,0.0089,276200.0,1910.046259612916,317937.38471395965,0.006007617699099264
"Atlanta, GA",138.3279284013837,4861.818181818182,-1.1794010584231878e-07,0.001835613954820056,0.29316713527019234,7.826275374994767,-3.171076305422202e-08,0.005435413630877769,71.32254219288622,1957.0276504478122,4.2952748482020555e-07,0.007425353597262498,0.5575858507702728,0.32380018557559503,0.515101412710442,1.5877886761911566,0.5299569902083276,0.33134468436118536,0.5397517412656038,0.8047302363697676,0.24790968561056456,0.4352962346240823,0.8301600903401508,1.0780697759507154,3.4705886885116395,4006.0,0.0092,3078000.0,1919.1852151724595,388469.2969962892,0.004940378120000542
"Palm Bay, FL",16.171683255268533,501.8181818181818,-2.53007145962979e-07,0.0022950969917100218,0.32426619929643064,9.146890646815788,-3.1904378211983985e-08,0.006296099351753401,69.40780870384422,1956.5615336089186,-7.259729217461347e-07,0.008186126151005755,0.10186420564984103,0.26219526809775984,0.6189483607149897,1.3397609270798205,0.594770479638763,0.3313031616425873,0.6545340902057339,0.9519193300251154,0.24045306214234136,0.2724734630446601,0.9318077447591792,1.1722608069015206,3.4639410640064563,5854.0,0.0089,255800.0,2020.6079150506584,365323.0303034143,0.005531017065561042
"Reno, NV",16.935473186551498,579.0909090909091,-5.725655392145414e-07,0.0025790748925750033,0.2909809709922595,8.013393785763325,-1.5767289001661797e-06,0.005807936168731184,98.64317799291183,2670.750146962857,-2.2874612510639466e-06,0.007088225570553473,0.1047136351128566,0.11644269642649525,0.6831297035240138,1.4709730421608842,0.5254008101509006,0.0,0.5894319101017406,0.8521323151771909,0.3543055340349731,0.052442508383242825,0.7851160453292252,1.1394215793641984,3.4625269367022735,2707.0,0.006,270100.0,1873.8607412794845,547226.3424306336,0.0034242882624332272
"Gainesville, GA",7.007106447966254,255.45454545454547,3.6029029075385207e-07,0.002762461052786048,0.2751174992510146,7.721845089604579,-1.370857573914322e-07,0.005955050220581772,67.54699935453529,1913.814056818196,8.738848069719984e-07,0.0073901232763573365,0.06767441850911232,0.5419240453372409,0.7245764850485091,1.5168273886061305,0.4923397843539917,0.30874595661842197,0.6090512624668888,0.8552211546438846,0.23320643761555745,0.4979110899311117,0.825452928565164,1.0586593661807213,3.4307079094307364,4006.0,0.0092,109900.0,1779.342958300551,381031.3506168748,0.004669807236123391
"Punta Gorda, FL",3.0564990323347083,100.0,2.805764866417473e-07,0.0021452834303179328,0.3764760574521771,10.587848252458278,9.606538929637047e-07,0.006787903284615723,72.05204465747777,1908.7968982428124,-1.0865286145967729e-07,0.007790440355477359,0.05293610276829127,0.505566083248314,0.5850892628349823,1.223114628438256,0.7035809276601889,0.5441672693012539,0.7201218062125717,1.0719122700426662,0.2507506163347259,0.3594606787965796,0.8789397320995609,1.1296903484342868,3.424717246915209,5854.0,0.0089,56200.0,2233.710472033876,368148.8441547035,0.006067411340547973
"Las Vegas, NV",55.47021768720873,2224.5454545454545,7.546262778338372e-07,0.0026101435115560017,0.2699689577330991,6.9821211711228734,7.910782058552746e-08,0.00519370005794514,79.02012451294557,2090.080637149988,-6.369849318427234e-07,0.006857246234757061,0.24847310592116106,0.7217831428705941,0.6901514671167043,1.6287760401545697,0.4816097205497552,0.35511084459934544,0.5075164537512571,0.7483213140261347,0.27788668935799105,0.2850128538324237,0.7542546432091721,1.0321413325671631,3.4092386867478677,2707.0,0.006,1149800.0,1772.931503609456,437748.89684152027,0.004050110728780012
"Stockton, CA",18.84420033252454,593.6363636363636,-1.449035384584945e-07,0.0025008394394621064,0.3527182417674229,10.163000732485585,-7.868722236530663e-07,0.0058666153741324225,93.23283788760536,2485.9920011751674,-1.6143655715570465e-06,0.006387333236762527,0.11183441943303937,0.31150199617457774,0.6654478472219435,1.4427301138769264,0.6540673173960699,0.16939271124611247,0.5972574576466008,0.9242911163446357,0.33323582943577973,0.1472891250115476,0.6914690527036585,1.0247048821394382,3.3917261123610003,2598.0,0.0076,279600.0,2358.7799876329696,546086.1454894388,0.004319428366963739
"Ogden, UT",16.877446940192517,564.5454545454545,-5.403186922179476e-08,0.0021634959263308598,0.2705116449667492,7.186395564195222,2.3795880766926157e-07,0.005732940278431724,102.71227064675952,2616.149986265077,-1.0432533678033338e-06,0.007874861198083598,0.10449715975853271,0.35294912997864275,0.5892054368275825,1.2829080334136977,0.48274073379351506,0.3891780370234487,0.5794303447909198,0.8208007116876773,0.37015196485717405,0.22776514334055745,0.8902192933728742,1.2603712582300481,3.364080003331423,2876.0,0.0063,298500.0,1696.335344394168,500609.20154029474,0.003388542078680964
