msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Reno, NV",16.935473186551498,579.0909090909091,-5.725655392145414e-07,0.0025790748925750033,98.64317799291183,2670.750146962857,-2.2874612510639466e-06,0.007088225570553473,0.1047136351128566,0.19634922469341443,0.7101768824616915,0.7101768824616915,0.37170084894655275,0.052442508383242825,0.7972282665885135,0.7972282665885135,1.507405149050205,2707.0,0.006,270100.0,1873.8607412794845,547226.3424306336,0.0034242882624332272
"Cape Coral, FL",18.1539993739398,612.7272727272727,-3.0276200761426635e-07,0.0024325527834761383,72.93700458160083,2048.496395535749,4.24429925863941e-07,0.007274613459484703,0.10925952433918883,0.2659112190817171,0.6844987170507949,0.6844987170507949,0.27428923885533396,0.4345779322566994,0.8187794445285564,0.8187794445285564,1.5032781615793513,5854.0,0.0089,307800.0,2183.705910664381,412982.1747256646,0.005287651730041305
"Phoenix, AZ",156.87178464322685,5077.272727272727,9.398914558308057e-09,0.0024329274286629585,91.21840022029164,2320.7105227498855,-1.3630435690684104e-07,0.0072460620972356615,0.6267664044398885,0.34639399181497765,0.6845643740437003,0.6845643740437003,0.3435652121939358,0.3555642776344183,0.8154781812770222,0.8154781812770222,1.5000425553207224,4086.0,0.0066,2444200.0,1864.017828788762,468841.499982879,0.003975795292986716
"Austin, TX",119.4646887639067,3710.0,3.4990934159057337e-07,0.0033554170646944094,89.62487391208161,2002.5708797868083,-1.1296410547415295e-06,0.00583692830686282,0.48721379087591754,0.43418596501075335,0.8462317265650195,0.8462317265650195,0.3375266641408385,0.2155921639649722,0.6525464949330825,0.6525464949330825,1.498778221498102,5602.0,0.018,1352600.0,1752.9620922590632,471345.8765969128,0.0037190568100761543
"The Villages, FL",4.7113335352570545,134.54545454545453,3.727243430103428e-07,0.004232833787254481,57.74179914112541,1421.1231381420776,1.7789766162272154e-06,0.004482133454181603,0.059109703644544195,0.4400682341986986,1.0,1.0,0.2167081510777086,0.6254485239980441,0.49589777108193217,0.49589777108193217,1.4958977710819321,5854.0,0.0089,40600.0,2039.3875,404350.9817175841,0.005043607143816446
"Deltona, FL",10.069291811395034,383.6363636363636,9.457208498128813e-09,0.002001177977097909,66.11042977938861,1786.783896259991,-2.4569452911983313e-07,0.0077844770303918485,0.07909834652700665,0.34640902142815805,0.6088997941278416,0.6088997941278416,0.24842044725218412,0.34014999398548645,0.8777326340559071,0.8777326340559071,1.4866324281837486,5854.0,0.0089,226800.0,1902.259504707179,344253.99189267744,0.005525744216497615
"Las Vegas, NV",55.47021768720873,2224.5454545454545,7.546262778338372e-07,0.0026101435115560017,79.02012451294557,2090.080637149988,-6.369849318427234e-07,0.006857246234757061,0.24847310592116106,0.5385319573735021,0.7156216930925835,0.7156216930925835,0.29734076416051763,0.2850128538324237,0.7705211838764064,0.7705211838764064,1.48614287696899,2707.0,0.006,1149800.0,1772.931503609456,437748.89684152027,0.004050110728780012
"Charlotte, NC",72.83060444302997,2461.818181818182,-2.0014954351989867e-07,0.002097838119886929,70.85892008273842,1945.9526141950873,4.86524329127228e-07,0.007474214331595971,0.3132385544893173,0.29236723916850177,0.625839593523594,0.625839593523594,0.2664144939953806,0.44332771960549183,0.8418583791982056,0.8418583791982056,1.4676979727217996,4375.0,0.0084,1363200.0,1771.2063150325885,384642.9025484119,0.004604806960683906
"Sebastian, FL",2.8168938840933135,95.45454545454545,1.2871126859868016e-08,0.001912250575038845,71.58610335137874,2011.3302355313726,-3.495837880747499e-08,0.007743305576627196,0.052042220902445736,0.34728921364993104,0.5933151662946919,0.5933151662946919,0.2691701002809307,0.36984504547213937,0.8729721674224787,0.8729721674224787,1.4662873337171707,5854.0,0.0089,59000.0,2263.7619047619046,388907.4234202571,0.005820824619013923
"Yuba City, CA",3.3091978257996253,114.54545454545455,-3.6958270737552165e-08,0.0025760407451009956,76.74605930659743,1997.0607758590668,-1.452339191903852e-06,0.006651267695770312,0.05387883238264732,0.33444196789489916,0.7096451446837017,0.7096451446837017,0.28872336515451386,0.17012043173735633,0.7467048287956782,0.7467048287956782,1.45634997347938,2598.0,0.0076,52400.0,1815.7871017871016,426457.8989756874,0.004257834375089441
"North Port, FL",17.82531053075127,646.3636363636364,1.7086053460812142e-07,0.0022385591909846268,84.53023272373065,2334.3184467825145,8.78521084767265e-07,0.007161174729578777,0.10803330278849006,0.38802277347403846,0.6505011204608501,0.6505011204608501,0.3182209046622247,0.4985643926873441,0.8056630437392482,0.8056630437392482,1.4561641642000982,5854.0,0.0089,346400.0,2419.1712082560293,475419.621436009,0.005088496770387604
"Dallas, TX",256.9170975753312,8341.818181818182,2.481041574139955e-07,0.0022681632534080863,66.23469261903965,1852.5971105106223,-1.0719354416840284e-06,0.007040889503603685,1.0,0.40793808156613204,0.655689265897872,0.655689265897872,0.24889133193389984,0.22372352229277437,0.7917550139664342,0.7917550139664342,1.4474442798643063,5602.0,0.018,4273800.0,1755.441551907007,380884.3253945528,0.004608857426959142
"Sherman, TX",2.3283744947676106,80.9090909090909,5.741529035907182e-07,0.0016993121590531467,53.1004816436342,1466.757883743585,-1.208031481299959e-06,0.007878796773983931,0.05021972824551736,0.4920014773168613,0.5559974679511221,0.5559974679511221,0.19912022761897133,0.20454608691904097,0.8886383940227587,0.8886383940227587,1.4446358619738808,5602.0,0.018,53900.0,1513.4873684210525,280386.0660575272,0.005397869408070115
"Spokane, WA",10.398601963877224,382.72727272727275,1.7700887062366964e-07,0.0015933353664819385,88.20306933741993,2154.1706020880574,-1.0170463533227495e-06,0.007940602413219748,0.08032688596242016,0.38960796590229996,0.537424915139153,0.537424915139153,0.3321388426772241,0.23145800117799503,0.8957846970175881,0.8957846970175881,1.433209612156741,2801.0,0.0098,274400.0,1511.3342190016103,410051.4031863545,0.003685718930011221
"Salt Lake City, UT",45.77566626435933,1469.090909090909,-1.4581137507988475e-07,0.002024234051573029,109.25717568980215,2787.2893455674002,-1.0002805066595098e-06,0.007262164346911116,0.21230617137073332,0.3063769570757341,0.6129403972677991,0.6129403972677991,0.41192179465540085,0.2338204941776265,0.8173400106586445,0.8173400106586445,1.4302804079264435,2876.0,0.0063,826800.0,1693.4366801437557,561815.4032773963,0.0030142225903116104
"Miami, FL",106.06067481863508,4387.272727272727,3.5888893657564143e-07,0.0017644061668005775,94.21456793643803,2915.839009126271,1.0798793034160372e-06,0.007609685996122921,0.43720816669313584,0.43650112572142175,0.5674052664634195,0.5674052664634195,0.35491896433211784,0.5269379900087969,0.857522347306838,0.857522347306838,1.4249276137702576,5854.0,0.0089,2956000.0,2748.1186255268763,569625.5022350437,0.004824430463074535
